Data,%,Ocupadas
20-11-2014,92.19,59
21-11-2014,70.31,45
22-11-2014,26.56,17
23-11-2014,14.06,9
24-11-2014,50.00,32
25-11-2014,84.38,54
26-11-2014,96.88,62
27-11-2014,76.56,49
28-11-2014,29.69,19
29-11-2014,64.06,41
30-11-2014,12.50,8
01-12-2014,42.19,27
02-12-2014,73.44,47
03-12-2014,78.13,50
04-12-2014,59.38,38
05-12-2014,48.44,31
06-12-2014,62.50,40
07-12-2014,23.44,15
08-12-2014,70.31,45
09-12-2014,78.13,50
10-12-2014,96.88,62
11-12-2014,85.94,55
12-12-2014,40.63,26
13-12-2014,51.56,33
14-12-2014,25.00,16
15-12-2014,43.75,28
16-12-2014,65.63,42
17-12-2014,82.81,53
18-12-2014,59.38,38
19-12-2014,59.38,38
20-12-2014,90.63,58
21-12-2014,56.25,36
22-12-2014,37.50,24
23-12-2014,45.31,29
24-12-2014,43.75,28
25-12-2014,50.00,32
26-12-2014,60.94,39
27-12-2014,62.50,40
28-12-2014,26.56,17
29-12-2014,35.94,23
30-12-2014,28.13,18
31-12-2014,21.88,14
01-01-2015,21.88,14
02-01-2015,56.25,36
03-01-2015,43.75,28
04-01-2015,31.25,20
05-01-2015,28.13,18
06-01-2015,51.56,33
07-01-2015,34.38,22
08-01-2015,40.63,26
09-01-2015,23.44,15
10-01-2015,35.94,23
11-01-2015,29.69,19
12-01-2015,53.13,34
13-01-2015,78.13,50
14-01-2015,70.31,45
15-01-2015,51.56,33
16-01-2015,35.94,23
17-01-2015,45.31,29
18-01-2015,28.13,18
19-01-2015,59.38,38
20-01-2015,82.81,53
21-01-2015,76.56,49
22-01-2015,65.63,42
23-01-2015,100.00,64
24-01-2015,93.75,60
25-01-2015,12.50,8
26-01-2015,65.63,42
27-01-2015,90.63,58
28-01-2015,81.25,52
29-01-2015,73.44,47
30-01-2015,54.69,35
31-01-2015,62.50,40
01-02-2015,31.25,20
02-02-2015,50.00,32
03-02-2015,53.13,34
04-02-2015,67.19,43
05-02-2015,51.56,33
06-02-2015,39.06,25
07-02-2015,89.06,57
08-02-2015,26.56,17
09-02-2015,85.94,55
10-02-2015,87.50,56
11-02-2015,64.06,41
12-02-2015,65.63,42
13-02-2015,46.88,30
14-02-2015,45.31,29
15-02-2015,34.38,22
16-02-2015,21.88,14
17-02-2015,25.00,16
18-02-2015,34.38,22
19-02-2015,35.94,23
20-02-2015,23.44,15
21-02-2015,56.25,36
22-02-2015,12.50,8
23-02-2015,43.75,28
24-02-2015,79.69,51
25-02-2015,59.38,38
26-02-2015,50.00,32
27-02-2015,32.81,21
28-02-2015,43.75,28
01-03-2015,7.81,5
02-03-2015,40.63,26
03-03-2015,54.69,35
04-03-2015,56.25,36
05-03-2015,53.13,34
06-03-2015,45.31,29
07-03-2015,25.00,16
08-03-2015,12.50,8
09-03-2015,56.25,36
10-03-2015,82.81,53
11-03-2015,98.44,63
12-03-2015,65.63,42
13-03-2015,32.81,21
14-03-2015,31.25,20
15-03-2015,25.00,16
16-03-2015,56.25,36
17-03-2015,73.44,47
18-03-2015,100.00,64
19-03-2015,90.63,58
20-03-2015,42.19,27
21-03-2015,96.88,62
22-03-2015,14.06,9
23-03-2015,75.00,48
24-03-2015,96.88,62
25-03-2015,82.81,53
26-03-2015,90.63,58
27-03-2015,25.00,16
28-03-2015,37.50,24
29-03-2015,7.81,5
30-03-2015,46.88,30
31-03-2015,62.50,40
01-04-2015,64.06,41
02-04-2015,34.38,22
03-04-2015,39.06,25
04-04-2015,34.38,22
05-04-2015,17.19,11
06-04-2015,70.31,45
07-04-2015,73.44,47
08-04-2015,82.81,53
09-04-2015,53.13,34
10-04-2015,25.00,16
11-04-2015,28.13,18
12-04-2015,7.81,5
13-04-2015,50.00,32
14-04-2015,81.25,52
15-04-2015,73.44,47
16-04-2015,57.81,37
17-04-2015,43.75,28
18-04-2015,79.69,51
19-04-2015,26.56,17
20-04-2015,43.75,28
21-04-2015,18.75,12
22-04-2015,100.00,64
23-04-2015,67.19,43
24-04-2015,54.69,35
25-04-2015,42.19,27
26-04-2015,10.94,7
27-04-2015,56.25,36
28-04-2015,81.25,52
29-04-2015,67.19,43
30-04-2015,60.94,39
01-05-2015,54.69,35
02-05-2015,64.06,41
03-05-2015,14.06,9
04-05-2015,67.19,43
05-05-2015,95.31,61
06-05-2015,75.00,48
07-05-2015,75.00,48
08-05-2015,25.00,16
09-05-2015,35.94,23
10-05-2015,23.44,15
11-05-2015,68.75,44
12-05-2015,81.25,52
13-05-2015,89.06,57
14-05-2015,84.38,54
15-05-2015,26.56,17
16-05-2015,53.13,34
17-05-2015,20.31,13
18-05-2015,48.44,31
19-05-2015,100.00,64
20-05-2015,92.19,59
21-05-2015,62.50,40
22-05-2015,17.19,11
23-05-2015,43.75,28
24-05-2015,12.50,8
25-05-2015,90.63,58
26-05-2015,98.44,63
27-05-2015,65.63,42
28-05-2015,98.44,63
29-05-2015,28.13,18
30-05-2015,28.13,18
31-05-2015,21.88,14
01-06-2015,56.25,36
02-06-2015,54.69,35
03-06-2015,29.69,19
04-06-2015,28.13,18
05-06-2015,39.06,25
06-06-2015,40.63,26
07-06-2015,34.38,22
08-06-2015,67.19,43
09-06-2015,98.44,63
10-06-2015,100.00,64
11-06-2015,62.50,40
12-06-2015,25.00,16
13-06-2015,14.06,9
14-06-2015,9.38,6
15-06-2015,50.00,32
16-06-2015,96.88,62
17-06-2015,95.31,61
18-06-2015,100.00,64
19-06-2015,18.75,12
20-06-2015,14.06,9
21-06-2015,15.63,10
22-06-2015,60.94,39
23-06-2015,92.19,59
24-06-2015,96.88,62
25-06-2015,87.50,56
26-06-2015,23.44,15
27-06-2015,34.38,22
28-06-2015,18.75,12
29-06-2015,50.00,32
30-06-2015,85.94,55
01-07-2015,76.56,49
02-07-2015,54.69,35
03-07-2015,31.25,20
04-07-2015,20.31,13
05-07-2015,29.69,19
06-07-2015,56.25,36
07-07-2015,71.88,46
